相机,时间,正常计数,失败计数,异常率,节拍时间
相机1,,0,0,,
相机1,15:17:27:458_2020_12_08,19,0,0.00%,25.03
相机1,15:26:11:992_2020_12_08,4,0,0%,24.27
相机1,15:57:33:601_2020_12_08,60,56,48.28%,707.71
相机1,16:00:25:460_2020_12_08,19,50,72.46%,1378.94
相机1,16:03:55:511_2020_12_08,30,88,74.58%,648.59
相机1,16:05:07:006_2020_12_08,4,18,81.82%,630.77
相机1,19:23:38:048_2020_12_08,5,0,0%,28.00
相机1,19:24:54:752_2020_12_08,13,0,0.00%,25.25
