相机,时间,正常计数,失败计数,异常率,节拍时间
相机1,15:34:45:098_2020_12_07,2634,0,0.00%,98.31
相机1,16:11:50:729_2020_12_07,20,0,0.00%,95.63
相机1,16:29:04:892_2020_12_07,0,27,100.00%,29040.79
