相机,时间,正常计数,失败计数,异常率,节拍时间
相机1,,0,0,,
相机1,11:51:25:738_2020_12_08,5,3,0%,356.62
相机1,13:53:13:820_2020_12_08,4,0,0%,68.62
相机1,13:53:51:657_2020_12_08,8,0,0%,25.99
相机1,13:54:09:415_2020_12_08,12,0,0.00%,23.65
相机1,13:58:17:473_2020_12_08,7,0,0%,24.11
相机1,13:58:42:339_2020_12_08,12,0,0.00%,24.27
相机1,13:59:08:982_2020_12_08,9,0,0%,26.45
相机1,14:37:17:161_2020_12_08,8,0,0%,25.90
相机1,14:37:39:656_2020_12_08,5,0,0%,23.93
