相机,时间,正常计数,失败计数,异常率,节拍时间
相机1,17:13:28:356_2020_12_09,228,0,0.00%,28.05
相机1,,0,0,,
相机1,17:24:28:449_2020_12_09,69,0,0.00%,29.45
