相机,时间,正常计数,失败计数,异常率,节拍时间
相机1,11:16:19:712_2020_12_18,165,0,0.00%,99.64
相机1,11:18:53:538_2020_12_18,22,0,0.00%,101.05
相机1,11:39:46:102_2020_12_18,2091,0,0.00%,85.76
