相机,时间,正常计数,失败计数,异常率,节拍时间
相机1,13:57:43:223_2020_12_17,10,0,0%,68.72
相机1,14:08:53:678_2020_12_17,62,0,0.00%,86.64
相机1,14:13:54:369_2020_12_17,605,0,0.00%,102.41
